Name,Gender,Month,Year,Family Background,Product Name,Product Type,Price,Shop Name,Brands,Mode of Payment,Occupation,Salary,Net Worth,Education,State,City
Joseph Huber,Male,March,2020,Upper Middle Class,new,Personal Care,36.63,Bonilla-James,Brand B,Cash,Brewing technologist,149218.01,2418199.02,Master,Michigan,East Jason
Jennifer Parker,Female,September,1983,Upper Middle Class,stage,Personal Care,119.72,Hayes-Powers,Brand D,Debit Card,Theatre director,122704.59,8201986.64,PhD,Illinois,Wallacefurt
Ashley Williams,Male,February,2007,Upper Middle Class,high,Household,67.34,Morris-Morris,Brand A,Debit Card,Technical author,47191.25,6636103.0,Master,Oregon,East Brittanymouth
Mrs. Sheila Sanford,Male,October,2014,Upper Middle Class,because,Grocery,88.58,Richards Inc,Brand C,Credit Card,Scientific laboratory technician,63018.47,5611509.37,PhD,Tennessee,Barbaraland
Sara Jones,Male,July,2007,Upper Class,begin,Grocery,128.94,Huynh and Sons,Brand A,Cash,Garment/textile technologist,81264.07,5006645.8,Master,Montana,South Christineville
Troy Schultz,Female,October,1999,Upper Middle Class,customer,Grocery,188.9,Austin LLC,Brand D,Credit Card,Midwife,110561.1,7879465.5,Master,Utah,West Nicholas
Rebecca Smith,Female,April,1995,Upper Class,prepare,Electronics,142.3,"Wilson, Robertson and Mckenzie",Brand D,Credit Card,Social worker,78991.1,3068896.09,Bachelor,Iowa,East William
Angela Keller,Male,January,2009,Upper Class,thank,Grocery,153.34,Clark and Sons,Brand A,Debit Card,"Nurse, learning disability",86822.26,8508475.23,High School,Michigan,Christinestad
Tabitha Jones,Female,June,1971,Upper Middle Class,source,Grocery,172.93,Cook-Richmond,Brand C,Cash,Equities trader,47322.21,4683949.08,Master,Florida,Maryville
Judith Smith,Male,March,2010,Upper Class,make,Household,116.85,Christian-Richards,Brand A,Debit Card,Farm manager,146134.34,5617138.91,PhD,Pennsylvania,South Scott
Jeffery Thompson,Male,October,1984,Middle Class,these,Personal Care,83.8,Larson-Fernandez,Brand B,Cash,"Engineer, aeronautical",60599.48,3369603.64,Bachelor,Washington,Allenmouth
David Campbell,Male,September,2015,Upper Middle Class,your,Electronics,185.22,Larson-White,Brand B,Debit Card,"Teacher, early years/pre",131656.01,1015393.57,Master,Indiana,Port Kelly
Deborah Gardner,Male,August,2020,Upper Middle Class,hair,Electronics,19.79,Weber-Goodwin,Brand C,Cash,Politician's assistant,75260.16,6089197.52,High School,Oklahoma,North Karenton
Jill Kennedy,Male,October,2009,Upper Middle Class,ten,Household,175.99,Roberts-Reynolds,Brand A,Credit Card,Press photographer,52579.6,7640794.53,High School,Texas,East Josefurt
Carla Nolan,Male,April,2000,Middle Class,fear,Grocery,101.08,Kelley-Hill,Brand A,Cash,Public affairs consultant,134336.86,3396346.68,High School,California,North Coltonchester
Sean Jones,Male,October,2012,Upper Middle Class,development,Grocery,50.24,Smith LLC,Brand C,Credit Card,Colour technologist,52802.84,7440604.51,High School,South Dakota,Wagnershire
Rebecca Armstrong,Female,February,1976,Upper Class,land,Grocery,183.74,"Cooper, Peterson and Hernandez",Brand D,Debit Card,Location manager,113475.15,7067308.97,Bachelor,Delaware,Cherylton
Melanie Williams,Female,May,1986,Middle Class,agency,Personal Care,183.87,Rodriguez-Reyes,Brand D,Credit Card,Television floor manager,96249.52,7777587.43,PhD,Pennsylvania,Bellton
Crystal Butler MD,Female,April,2009,Middle Class,benefit,Household,98.59,Sellers Inc,Brand D,Credit Card,Phytotherapist,107846.56,3153380.61,High School,New York,Aprilchester
Dawn Chandler,Female,October,2000,Upper Class,everything,Personal Care,107.44,Mitchell LLC,Brand C,Debit Card,Environmental consultant,89673.28,1076221.49,PhD,Nevada,Stacyburgh
Douglas Peters,Female,December,2017,Middle Class,set,Grocery,154.71,Hebert Inc,Brand D,Cash,International aid/development worker,68427.99,2110962.16,Master,Idaho,Lake Frankmouth
Maria Marshall,Female,September,1985,Middle Class,professional,Household,88.65,Stafford-Holland,Brand D,Cash,Housing manager/officer,97502.97,2290613.57,High School,Virginia,West Edward
Crystal Blevins,Male,March,2017,Upper Middle Class,draw,Electronics,13.08,"Young, Alvarez and Fletcher",Brand D,Cash,"Horticulturist, commercial",96397.39,5881915.8,Bachelor,North Carolina,Lyonsfurt
William Wolfe,Female,August,1979,Middle Class,current,Grocery,66.09,"King, Mays and Austin",Brand C,Debit Card,"Engineer, technical sales",53543.01,2377184.4,Bachelor,Connecticut,South Cynthialand
Margaret Lee,Male,September,2016,Middle Class,work,Grocery,104.87,Cook Ltd,Brand A,Credit Card,Amenity horticulturist,108552.96,6879981.46,High School,Maine,Gonzalezview
Glenn Jones,Female,April,2023,Upper Class,note,Grocery,155.04,Jones-Mejia,Brand A,Debit Card,Health and safety adviser,88634.53,7263223.67,PhD,Iowa,Tinaberg
Mark Graves,Female,April,1983,Upper Class,herself,Household,97.56,Garcia-Williams,Brand B,Cash,Senior tax professional/tax inspector,117932.67,3586544.07,High School,New Mexico,Markport
Cody Murphy,Male,May,2012,Upper Middle Class,week,Household,146.86,Wolfe-Lowe,Brand A,Cash,"Clinical scientist, histocompatibility and immunogenetics",88597.96,9177303.96,Master,New Mexico,North Kristy
Kenneth Mcmillan,Male,July,1995,Upper Class,animal,Electronics,109.55,"Bell, Bowers and Everett",Brand D,Debit Card,Broadcast journalist,130688.22,835871.07,PhD,California,Wrightmouth
Daniel Garcia,Male,November,1981,Middle Class,weight,Grocery,155.22,White and Sons,Brand C,Debit Card,Financial planner,79487.07,8441192.7,Master,Mississippi,Walkerstad
Kevin Diaz,Male,April,2010,Upper Class,impact,Household,22.91,Smith and Sons,Brand A,Credit Card,"Designer, interior/spatial",48123.56,2265324.76,High School,Nevada,South Jamie
Ronald Davis,Female,June,2004,Middle Class,television,Electronics,80.91,Gonzalez-Williams,Brand D,Debit Card,Aeronautical engineer,104140.23,6700871.82,Master,Texas,Jasonview
Kimberly White,Female,March,2021,Upper Class,situation,Household,135.26,Lane and Sons,Brand C,Credit Card,Advertising art director,31887.81,5368903.6,PhD,Florida,Lake Juanview
John Riggs,Female,September,2002,Middle Class,institution,Household,12.25,"Brennan, Hopkins and White",Brand D,Debit Card,Clinical embryologist,93530.12,2819933.3,High School,Maryland,Emilyton
Andrew Villarreal,Female,June,2023,Upper Middle Class,instead,Electronics,13.26,Montgomery Group,Brand A,Credit Card,Public house manager,127578.87,6772926.23,High School,Minnesota,Alicialand
Kevin Nelson,Male,February,1981,Middle Class,international,Household,30.33,Mendez and Sons,Brand A,Debit Card,Animal nutritionist,41557.67,1574085.11,Master,New York,East Kimberly
Joshua Hernandez,Male,April,2005,Upper Class,only,Grocery,127.76,Bowen LLC,Brand A,Credit Card,Event organiser,60290.18,3608966.9,Bachelor,Texas,Debrachester
Mrs. Megan Johnson,Female,February,2016,Upper Class,opportunity,Household,25.01,"Mack, Gallegos and Wilson",Brand D,Cash,Heritage manager,145115.74,4644077.68,PhD,Michigan,Pughton
Kevin Parks,Male,January,2013,Upper Class,board,Personal Care,198.14,"White, Snyder and Phillips",Brand B,Credit Card,"Accountant, chartered management",57102.87,6872012.09,Bachelor,Maryland,Bennettchester
Manuel Rivera,Male,July,1982,Upper Class,because,Grocery,134.21,"Alvarez, Myers and Garner",Brand B,Debit Card,Risk manager,132986.3,7619899.92,Master,Montana,Grahamhaven
Elizabeth Orozco,Male,April,1975,Upper Middle Class,race,Grocery,87.0,Johnson Group,Brand C,Cash,Insurance underwriter,75260.35,4812450.49,Master,North Carolina,Alexanderfurt
Nicholas Weaver,Male,December,2006,Middle Class,call,Grocery,143.54,Rodriguez and Sons,Brand C,Debit Card,"Restaurant manager, fast food",39922.33,8468764.97,Bachelor,Mississippi,New Ryanbury
Mike Young,Female,December,1985,Upper Class,lot,Electronics,117.51,Marsh-Silva,Brand B,Debit Card,Midwife,132955.24,1044082.17,PhD,Tennessee,Lake Karenchester
Alex Thomas,Male,November,1978,Upper Class,hospital,Electronics,53.66,Warner PLC,Brand B,Cash,Rural practice surveyor,138152.76,6953648.35,High School,North Dakota,South Brent
John Reynolds,Female,April,2014,Upper Middle Class,from,Electronics,61.51,"Watts, Nelson and Kramer",Brand C,Debit Card,Cytogeneticist,140899.11,6875844.56,High School,New Mexico,East Cory
Vincent Hamilton,Female,September,2005,Upper Class,color,Personal Care,180.87,Medina PLC,Brand D,Debit Card,Youth worker,97621.18,425727.62,High School,Kentucky,Lopezton
David Burton,Female,April,2018,Middle Class,term,Electronics,12.98,Patterson Group,Brand B,Debit Card,"Engineer, electrical",54858.97,1527496.46,High School,Wyoming,North Justinport
Dylan Vincent,Female,May,1988,Upper Middle Class,west,Grocery,186.49,Smith LLC,Brand B,Debit Card,Patent attorney,65913.23,5683186.18,Bachelor,Hawaii,East Brittany
Jeffrey Shaw,Female,October,2019,Middle Class,activity,Personal Care,138.64,Brown-Kerr,Brand C,Credit Card,Printmaker,94867.49,3900077.52,Master,Wyoming,New Carrie
Megan Perkins,Male,January,2013,Upper Middle Class,provide,Personal Care,160.19,Stewart-Gibson,Brand D,Cash,"Surveyor, insurance",112717.26,876434.14,Master,Michigan,Lake Leroymouth
Deborah Yang,Female,April,1971,Upper Class,dog,Personal Care,20.2,Herrera PLC,Brand C,Cash,Plant breeder/geneticist,82450.59,8402879.11,Bachelor,Massachusetts,East Ronald
Stephen Barton,Female,May,1972,Upper Middle Class,voice,Household,124.98,Graves-Sanchez,Brand B,Debit Card,Barrister,103663.83,5996525.75,Master,Delaware,Rogerhaven
Timothy Wang,Female,July,1979,Middle Class,maintain,Grocery,15.63,Bender-Adams,Brand B,Cash,Scientific laboratory technician,62799.24,9926600.2,Bachelor,Michigan,Medinahaven
Laura Maldonado,Female,September,2022,Middle Class,media,Household,53.35,Ingram PLC,Brand D,Cash,Personnel officer,96364.53,3816727.26,PhD,Georgia,South Scott
Brian Beasley,Male,March,1979,Upper Middle Class,career,Household,139.14,Patel-Paul,Brand D,Debit Card,Bookseller,109280.63,948371.76,Bachelor,Ohio,South Markbury
Amy Wall,Female,August,2007,Middle Class,as,Electronics,161.63,Brown PLC,Brand B,Debit Card,"Clinical scientist, histocompatibility and immunogenetics",115573.02,912176.3,High School,Ohio,West Jerry
Jesse Jones,Male,January,2013,Upper Middle Class,scientist,Household,82.2,Hall-Singh,Brand A,Debit Card,Records manager,124066.83,1627341.22,High School,Louisiana,Michaelburgh
Samantha Wallace,Female,June,2004,Upper Class,relationship,Electronics,70.17,Kelly-Hanson,Brand D,Cash,Analytical chemist,42786.11,151432.7,Master,Maryland,Brownburgh
Michele Campbell,Female,July,2007,Middle Class,paper,Personal Care,94.5,"Meza, Taylor and Sanchez",Brand A,Cash,Ophthalmologist,121361.58,1112091.0,Bachelor,Missouri,Josephshire
Aaron Miller,Male,December,2008,Upper Middle Class,war,Personal Care,45.6,"Green, Mckee and Mcbride",Brand A,Debit Card,Science writer,83861.24,5591926.01,Bachelor,Texas,Jasonberg
Megan Parker,Female,February,1991,Upper Middle Class,point,Grocery,29.63,Burton LLC,Brand B,Cash,Quality manager,40754.26,5586776.07,PhD,Vermont,Wallmouth
Scott Weber,Female,January,2019,Upper Middle Class,to,Personal Care,174.11,"Prince, Keller and Kelly",Brand D,Debit Card,Jewellery designer,31480.87,4196719.69,High School,Wyoming,Gamblefort
William Ross,Male,November,2000,Upper Class,nature,Household,147.72,Andrews Inc,Brand C,Cash,Dramatherapist,97144.39,9928028.98,PhD,Virginia,Lake Lisa
Jacob Olsen,Male,January,2010,Upper Class,character,Grocery,118.67,Fisher-Serrano,Brand A,Credit Card,Pensions consultant,50349.95,3869247.03,Bachelor,Michigan,Port Beverlyfort
Jason Wilson,Male,September,2001,Upper Middle Class,statement,Grocery,61.09,Kim PLC,Brand A,Credit Card,"Secretary, company",62208.82,1544754.72,High School,New York,Lake Adam
Craig Dunn,Male,February,2004,Upper Class,bar,Household,92.59,"James, Ray and Craig",Brand B,Credit Card,"Surveyor, minerals",80532.28,4893890.01,PhD,Kansas,Lake Jameston
Kenneth Lee,Male,November,1994,Middle Class,affect,Electronics,78.61,Tucker LLC,Brand C,Credit Card,Press sub,143306.68,7236904.58,High School,Minnesota,Williamchester
Eric Cook,Female,March,1998,Upper Middle Class,support,Personal Care,122.82,"Miller, Barrera and Rodriguez",Brand A,Debit Card,Facilities manager,53465.79,1159026.44,PhD,Idaho,South Travisland
Amanda Gonzalez,Female,March,2004,Upper Class,economic,Grocery,11.29,Rich Inc,Brand D,Debit Card,Biomedical engineer,77483.04,8431972.53,PhD,Idaho,North Williamfurt
Jonathan Walters,Female,February,1973,Middle Class,out,Electronics,162.77,"Rasmussen, Lewis and Bates",Brand D,Debit Card,Clinical molecular geneticist,69545.01,3413888.62,Bachelor,Alaska,Perezmouth
Brenda Thompson,Male,May,1995,Middle Class,reveal,Grocery,67.08,Cruz-Wallace,Brand C,Debit Card,Print production planner,102385.35,6983393.73,PhD,Montana,West Jeffreyfurt
Antonio Espinoza,Female,June,2008,Upper Middle Class,rock,Grocery,69.69,Booker PLC,Brand D,Debit Card,Web designer,145748.95,9690379.7,Master,North Carolina,Rivershaven
Gabriel Mcgee,Female,July,1997,Upper Middle Class,so,Electronics,149.63,Johnson Inc,Brand C,Debit Card,Media buyer,105948.3,9680854.55,PhD,Connecticut,Port Dennismouth
Phillip Butler,Male,October,1979,Upper Middle Class,nearly,Household,71.92,Moreno Group,Brand B,Cash,"Development worker, international aid",63636.02,7880078.66,High School,New Mexico,Carpenterborough
Brian Jones,Female,March,2009,Middle Class,expect,Electronics,31.64,Allen-Hancock,Brand D,Cash,Petroleum engineer,97662.06,5963047.64,Master,Michigan,Tiffanyton
Carmen Rodriguez,Male,September,1971,Upper Middle Class,hotel,Personal Care,139.53,Howell-Owens,Brand A,Credit Card,Psychotherapist,96011.9,9534745.65,Master,Vermont,Johnbury
Debra Cooper,Female,April,1990,Upper Class,conference,Electronics,189.17,"Blanchard, Adkins and Oliver",Brand C,Debit Card,Games developer,55157.81,7997086.66,High School,Arizona,Jonesshire
Catherine Moss,Male,January,2014,Upper Middle Class,free,Personal Care,165.6,Collins-Page,Brand A,Cash,"Development worker, international aid",125478.82,4150501.74,Bachelor,New Hampshire,Jaredtown
Edward Skinner,Female,October,2022,Upper Class,may,Household,36.44,"Love, Park and Smith",Brand A,Cash,"Biochemist, clinical",66339.92,2601548.68,Bachelor,Alabama,Howellmouth
Mrs. Jennifer Garcia DVM,Male,November,2019,Middle Class,certain,Electronics,145.89,Bray-Harris,Brand D,Debit Card,Plant breeder/geneticist,124689.21,832254.84,Bachelor,New Mexico,Port Catherine
Laurie Russell,Female,December,2021,Upper Middle Class,anything,Personal Care,120.63,Baker and Sons,Brand C,Credit Card,Applications developer,94124.09,9242607.96,High School,North Dakota,West Melissa
Sara Lucas,Female,February,1988,Upper Class,plan,Household,113.29,Lopez-Macias,Brand C,Credit Card,Veterinary surgeon,124886.51,3659341.98,High School,New Jersey,East Stefanie
Dustin Mccarthy,Male,January,1983,Upper Middle Class,now,Grocery,30.78,"Anderson, Gilbert and Edwards",Brand A,Cash,Corporate treasurer,59787.72,6680469.48,Bachelor,Iowa,New Darrell
Amanda Mcdaniel,Male,November,1977,Middle Class,tend,Electronics,132.93,Mitchell LLC,Brand B,Cash,Graphic designer,35315.6,9837721.24,PhD,North Dakota,Michaelmouth
Ronnie Johnson,Female,May,1998,Upper Class,billion,Grocery,193.69,"Morales, Reynolds and Lynch",Brand C,Debit Card,Forest/woodland manager,69791.6,7982687.54,Master,Vermont,Lindseyshire
John Thompson,Male,November,1980,Upper Middle Class,man,Household,12.0,"Jensen, Norris and Stone",Brand C,Credit Card,"Restaurant manager, fast food",61048.6,5155694.78,Bachelor,Iowa,West Benjamin
Jennifer Mitchell,Male,November,2014,Upper Middle Class,run,Personal Care,94.7,Mack PLC,Brand C,Cash,"Programme researcher, broadcasting/film/video",76936.1,7746188.1,High School,Virginia,North Michael
Jason Calderon,Male,July,2010,Middle Class,leg,Household,75.54,"Hodges, Johnson and Carroll",Brand A,Cash,Biomedical scientist,32947.52,1135038.64,Master,Tennessee,Joshuaview
Michael Moore,Female,April,1974,Middle Class,happy,Personal Care,184.9,"Moreno, Cohen and Buck",Brand D,Debit Card,"Production designer, theatre/television/film",40302.58,8330045.67,Bachelor,Colorado,Katherineburgh
Kara Meyer,Male,September,1996,Upper Middle Class,get,Household,76.18,Webster-Foley,Brand B,Debit Card,Dispensing optician,71168.0,7864272.98,Bachelor,South Dakota,East Amanda
Lauren Jordan,Female,July,1999,Upper Middle Class,national,Personal Care,76.18,Harding-Hall,Brand D,Debit Card,"Accountant, chartered",41714.76,7247740.04,PhD,Kansas,Lake Brandon
Nicholas Garcia,Female,September,2007,Middle Class,street,Personal Care,70.59,Hodges Ltd,Brand C,Debit Card,English as a foreign language teacher,66031.69,8120840.78,PhD,Kentucky,Brucestad
Rose House,Male,June,1993,Upper Class,course,Personal Care,14.29,"Gonzalez, Parks and Young",Brand C,Debit Card,Minerals surveyor,71169.35,1182690.55,Bachelor,North Dakota,Martinfurt
Raven Hinton,Male,October,1973,Upper Middle Class,mention,Household,186.69,Wood LLC,Brand A,Cash,Product designer,118858.74,5208339.63,Master,Ohio,North Sherryport
Angela Patel,Male,February,2009,Upper Class,people,Personal Care,72.89,"Brady, Simpson and Jones",Brand D,Cash,"Teacher, English as a foreign language",81164.33,4674336.16,Master,Maine,West Denisestad
Maria Clark,Female,October,1999,Upper Middle Class,training,Household,129.65,Yates-Sullivan,Brand D,Credit Card,Patent attorney,52366.43,6607348.32,Master,Oklahoma,New Melaniehaven
Erin Livingston,Female,July,1972,Upper Class,chair,Electronics,15.55,"Norman, Martinez and Rocha",Brand B,Debit Card,Oceanographer,103692.83,2053511.91,High School,New Jersey,Andersonville
Brandi Brooks,Female,July,1976,Upper Class,direction,Grocery,83.88,"Medina, Woods and Martinez",Brand D,Credit Card,Therapeutic radiographer,114568.27,2137266.35,Master,Louisiana,Taylorport
Glenn Rogers,Male,October,1980,Upper Class,free,Household,119.7,"Thomas, Spears and Hernandez",Brand C,Credit Card,"Scientist, forensic",125940.28,5415201.2,Bachelor,Illinois,Gayshire
James Stone,Female,May,2019,Upper Class,age,Personal Care,71.94,Harris-Kelly,Brand B,Credit Card,Stage manager,84906.05,2697298.61,PhD,Arkansas,Port Michael
Joseph Campbell,Female,May,2007,Upper Middle Class,far,Personal Care,110.27,"Sullivan, Maxwell and Cochran",Brand B,Debit Card,"Therapist, art",106693.03,6010011.21,PhD,Massachusetts,South Cody
Dr. Christina Butler,Female,June,1993,Upper Middle Class,try,Grocery,121.53,Madden Inc,Brand D,Credit Card,"Scientist, biomedical",71750.96,8470626.25,PhD,Washington,Lake Charlesfort
Christopher Moreno,Male,August,2000,Middle Class,American,Household,164.61,Chapman PLC,Brand D,Cash,Passenger transport manager,114718.6,3044703.86,PhD,Texas,North Kim
Melissa Wilson,Male,September,1983,Upper Middle Class,see,Personal Care,137.7,Dixon-Jacobs,Brand A,Debit Card,Chief Financial Officer,67582.29,2461869.99,Bachelor,Colorado,Port Cheryl
Heather Johnson,Male,November,2002,Middle Class,truth,Household,44.78,"Jones, Walsh and Johnson",Brand C,Cash,"Editor, film/video",113212.39,5157166.21,High School,California,Jenniferton
Peggy Cook,Female,March,2021,Upper Middle Class,fear,Electronics,123.32,Durham-Bryant,Brand B,Debit Card,Architect,98976.73,4288083.94,High School,New Mexico,Jarvisshire
Leonard Mora,Female,August,1999,Upper Middle Class,indicate,Household,130.75,Allen-Rivera,Brand A,Credit Card,"Production assistant, television",113211.95,6488074.94,PhD,California,South Chris
Victoria Gomez,Male,January,1991,Middle Class,the,Personal Care,115.43,Edwards LLC,Brand B,Cash,"Loss adjuster, chartered",88757.04,1488935.7,Master,Oklahoma,Mccoymouth
Amy Taylor,Female,July,2017,Upper Class,wear,Personal Care,169.98,Roach-Turner,Brand A,Cash,Horticultural consultant,104329.2,8668670.09,PhD,New York,South Darlene
Shaun Novak,Male,April,2004,Upper Middle Class,shake,Grocery,102.08,"Williams, Cox and Salinas",Brand B,Cash,"Designer, ceramics/pottery",53415.42,3901047.34,Bachelor,Michigan,Hollandhaven
Jesse Miller,Female,February,2011,Middle Class,parent,Household,87.74,Neal Inc,Brand C,Credit Card,"Administrator, arts",89007.11,7130409.49,Bachelor,Indiana,North Stanley
Paul Oliver,Female,February,1996,Upper Middle Class,season,Personal Care,102.85,"Miller, Morris and Douglas",Brand C,Cash,Acupuncturist,39920.48,405520.99,High School,Tennessee,Roseville
Jean Boyd,Male,July,1975,Upper Middle Class,writer,Grocery,65.5,Kim Ltd,Brand C,Debit Card,Biomedical scientist,62982.35,5422325.32,PhD,Louisiana,Angelaton
Mark Walker,Male,January,1996,Upper Middle Class,wife,Household,158.34,Lang-Martin,Brand C,Cash,Telecommunications researcher,97878.06,7748221.62,Bachelor,Arizona,Smithfort
Brandy Lucero,Female,August,2012,Upper Class,argue,Electronics,114.45,"Hodge, Davis and Rice",Brand B,Debit Card,Arboriculturist,43585.32,1230645.85,Bachelor,Illinois,Kristiemouth
Johnny Simmons,Female,November,1992,Upper Middle Class,might,Grocery,112.99,Jenkins-Newton,Brand C,Credit Card,Higher education lecturer,120814.35,7624040.9,Master,Oklahoma,Hendersonville
John Alexander,Female,September,1972,Upper Class,perhaps,Personal Care,113.81,Russo Group,Brand A,Cash,Neurosurgeon,148773.09,1113922.74,Master,Arkansas,Smithtown
Amanda Miller,Male,January,1973,Upper Class,might,Electronics,66.56,Cox Inc,Brand C,Debit Card,"Engineer, energy",149917.52,4552350.19,PhD,Kentucky,Wilsonmouth
Robert Gallagher,Female,June,2015,Middle Class,watch,Grocery,173.82,"Tran, Ramirez and Mills",Brand C,Cash,Cytogeneticist,40437.96,8666375.66,Bachelor,Missouri,Robertsonberg
Heather Cochran,Male,July,2007,Middle Class,town,Grocery,157.37,Robinson-Smith,Brand C,Cash,"Nurse, adult",58433.53,8125956.9,PhD,North Dakota,New Tyler
Anthony Johnson,Female,August,1990,Middle Class,situation,Personal Care,173.6,Burch Ltd,Brand D,Credit Card,Psychiatrist,103231.42,4338853.91,Bachelor,Idaho,West Miranda
Vincent Oconnor MD,Male,March,1981,Upper Middle Class,institution,Personal Care,159.12,"Alvarado, Beltran and Fisher",Brand C,Debit Card,Careers information officer,127623.58,8073860.88,PhD,Louisiana,North Rebecca
James Hernandez,Female,August,2003,Middle Class,wife,Personal Care,111.13,Peterson PLC,Brand A,Debit Card,Paramedic,101622.92,1766935.91,Bachelor,Vermont,Morrisonbury
Rose Dennis,Female,August,1975,Upper Class,off,Personal Care,64.97,Miles-Tyler,Brand B,Credit Card,Outdoor activities/education manager,62081.17,8594366.76,PhD,Tennessee,South Mitchell
Kathleen Evans,Male,November,1990,Upper Middle Class,general,Electronics,35.76,"Smith, Sanchez and Chung",Brand D,Cash,"Runner, broadcasting/film/video",120011.3,4174802.61,Bachelor,Arkansas,Port Natashahaven
Jerry Jones,Male,August,1983,Upper Middle Class,research,Personal Care,198.57,Fowler LLC,Brand A,Credit Card,Theatre manager,134045.71,1356192.87,Bachelor,Hawaii,Hannaborough
Angela Wood,Male,June,1976,Upper Middle Class,interesting,Electronics,57.44,"Berry, Santos and Lin",Brand A,Debit Card,Catering manager,115367.38,8301969.85,Bachelor,Nebraska,Allenville
Thomas Miller,Female,June,1984,Upper Class,guy,Grocery,103.0,Richard-Perez,Brand B,Debit Card,"Surveyor, rural practice",99291.06,2760299.81,Master,Ohio,Tammyview
Wendy Phillips,Female,April,1996,Upper Class,general,Electronics,81.28,Nichols-Castro,Brand B,Cash,Printmaker,39061.95,7966526.44,High School,Arkansas,Williamshire
Tracey Shields,Male,June,2015,Middle Class,traditional,Household,86.54,Mcgee PLC,Brand D,Credit Card,Medical secretary,119976.29,6977565.8,Bachelor,West Virginia,East Brandy
Leslie Gonzalez,Female,December,2005,Upper Class,particularly,Household,96.39,Harper PLC,Brand A,Cash,Horticultural therapist,88565.34,5861359.89,Bachelor,Maine,Christineville
Amy Thomas,Male,January,1986,Upper Middle Class,natural,Household,148.88,"Moore, Morales and Love",Brand D,Debit Card,Pensions consultant,85013.91,6675023.83,High School,Louisiana,West Lancemouth
Terri Johnson,Female,October,1991,Middle Class,you,Personal Care,171.52,Barber Ltd,Brand D,Debit Card,Production manager,125481.35,4037387.1,Master,Minnesota,Chapmanmouth
Jesse Mccoy,Female,February,2019,Middle Class,hair,Personal Care,166.72,"Garcia, Smith and Fields",Brand D,Credit Card,"Doctor, general practice",89365.79,3296364.98,High School,Utah,North Theresa
Joshua Vargas,Female,November,2007,Middle Class,land,Personal Care,74.17,Ferrell LLC,Brand B,Cash,"Administrator, arts",99352.04,5704806.9,PhD,Nebraska,Port Jacquelineside
Robert Perry,Female,December,2016,Middle Class,eye,Grocery,159.78,"Morrison, James and Walker",Brand B,Credit Card,Trade mark attorney,137298.56,7646314.82,Bachelor,Tennessee,Johnsonburgh
Craig Wong,Male,June,2021,Middle Class,write,Electronics,28.92,"Anderson, Randolph and Garcia",Brand B,Cash,Counsellor,124066.77,4649859.45,PhD,Massachusetts,North Alexandriafort
Rhonda Diaz,Male,June,2001,Upper Class,agreement,Grocery,186.59,Young LLC,Brand C,Debit Card,"Engineer, manufacturing",48958.02,4619529.55,High School,Nebraska,Jennifershire
Mr. Brandon Hill,Female,April,1992,Upper Class,indeed,Personal Care,48.44,Martinez Group,Brand A,Debit Card,Early years teacher,112631.03,1405939.57,PhD,California,Williamberg
Edward Yang,Female,May,1981,Upper Class,speak,Personal Care,40.21,"Rojas, Ortega and Valencia",Brand D,Credit Card,Senior tax professional/tax inspector,141927.07,2812792.64,PhD,South Dakota,Crystalville
Francisco Green,Female,June,2021,Upper Class,official,Electronics,57.57,Garcia PLC,Brand D,Credit Card,Health and safety adviser,74621.25,9047622.66,High School,Indiana,Zimmermanmouth
Heather Kim,Male,October,1975,Middle Class,young,Household,19.84,"Davila, Gonzales and Mitchell",Brand B,Credit Card,Astronomer,105072.51,7287284.8,Bachelor,Hawaii,Brewerville
Sean Scott,Male,September,2012,Middle Class,model,Personal Care,91.55,"Brown, Lewis and Garcia",Brand C,Debit Card,Glass blower/designer,40943.9,1042318.41,Bachelor,South Dakota,East Jamie
Holly Moyer,Male,April,1976,Upper Class,beautiful,Household,100.59,"Mcdowell, Mendez and Chen",Brand D,Debit Card,Tourist information centre manager,45923.98,2339289.53,Bachelor,Ohio,East Samantha
Matthew Manning,Female,December,1995,Upper Class,wide,Personal Care,11.76,"Chapman, Collier and Cain",Brand D,Debit Card,"Engineer, production",113471.65,8189379.37,High School,New Hampshire,West Sharon
Carrie Clark,Female,July,1973,Upper Middle Class,mind,Grocery,141.87,"Brady, Rios and Ross",Brand D,Cash,Fish farm manager,87324.03,2366573.99,Master,New York,Glovermouth
Dr. Jennifer Nicholson,Male,June,2017,Middle Class,investment,Grocery,148.85,Jarvis-Dunn,Brand A,Cash,"Engineer, drilling",42291.26,3202179.63,PhD,Wyoming,New Misty
Albert Monroe,Female,April,1993,Upper Middle Class,pressure,Household,36.05,"Conley, Miller and White",Brand A,Debit Card,"Scientist, research (physical sciences)",122815.26,7556262.23,PhD,Pennsylvania,Moonfurt
Jared Smith,Male,November,1974,Upper Middle Class,day,Electronics,131.9,Jones-Barron,Brand C,Debit Card,Garment/textile technologist,111256.45,777274.91,PhD,New Hampshire,Patrickville
Mark Clark,Male,January,2014,Middle Class,those,Electronics,125.96,Reilly PLC,Brand B,Cash,Mining engineer,49693.99,3576758.42,High School,Hawaii,Randyfurt
Marco Mckay,Male,January,2014,Middle Class,artist,Personal Care,129.34,Murphy PLC,Brand C,Debit Card,Solicitor,48164.9,4175927.95,Master,New Jersey,Scottmouth
